id,name,type,club,youth,debut,nation,peakvalue,league
aaa,Alemannia Aachen,2,aaa,aaa,aaa,GER,,
aar,FC Aarau,2,aar,aar,aar,SUI,,
adm,Admira Wacker Moedling,2,adm,adm,adm,AUT,,
aja,Ajax Amsterdam,2,aja,aja,aja,NED,,
ala,Deportivo Alaves,2,ala,ala,ala,ESP,,
alk,AZ Alkmaar,2,alk,alk,alk,NED,,
and,RSC Anderlecht,2,and,and,and,BEL,,
ange,Angelholm,2,ange,ange,ange,SWE,,
anne,Patroge Saint Anne,2,anne,anne,anne,COG,,
apo,Apollon Pontou,2,apo,apo,apo,GRE,,
ars,FC Arsenal,2,ars,ars,ars,ENG,,
asco,Angers SCO,2,asco,asco,asco,FRA,,
asec,ASEC Mimosas,2,asec,asec,asec,CIV,,
asm,AS Monaco,2,asm,asm,asm,FRA,,
asse,AS St Etienne,2,asse,asse,asse,FRA,,
atm,Atletico Madrid,2,atm,atm,atm,ESP,,
atpr,Athletico Paranese,2,atpr,atpr,atpr,BRA,,
atro,Atromitos Athen,2,atro,atro,atro,GRE,,
auer,SV Auersmacher,2,auer,auer,auer,GER,,
aux,AJ Auxerre,2,aux,aux,aux,FRA,,
awie,Austria Wien,2,awie,awie,awie,AUT,,
bama,JMG Academy Bamako,2,bama,bama,bama,MAL,,
bar,FC Barcelona,2,bar,bar,bar,ESP,,
bas,FC Basel,2,bas,bas,bas,SUI,,
beif,Benlose IF,2,beif,beif,beif,DEN,,
ben,Benfica Lissabon,2,ben,ben,ben,POR,,
bie,Arminia Bielefeld,2,bie,bie,bie,GER,,
bir,Birmingham City,2,bir,bir,bir,ENG,,
bl,Bundesliga,3,,,,GER,,
blum,Blumentaler SV,2,blum,blum,blum,GER,,
bmg,Borussia Moenchengladbach,2,bmg,bmg,bmg,GER,,1
bmg1,Jonas Omlin,1,bmg,luz,luz,GER,4,
bmg10,Marcus Thuram,1,bmg,soc,soc,GER,9,
bmg11,Hannes Wolf,1,bmg,rbs,rbs,GER,5,
bmg13,Lars Stindl,1,bmg,ksc,ksc,GER,6,
bmg14,Alassane Plea,1,bmg,ol,ol,GER,9,
bmg17,Manu Kone,1,bmg,tou,tou,GER,7,
bmg18,Stefan Lainer,1,bmg,rbs,rbs,GER,6,
bmg19,Nathan Ngoumou,1,bmg,tou,tou,GER,3,
bmg20,Luca Netz,1,bmg,bscj,bsc,GER,3,
bmg21,Tobias Sippel,1,bmg,fck,fck,GER,2,
bmg23,Jonas Hofmann,1,bmg,tsgj,bvb,GER,6,
bmg24,Tony Jantschke,1,bmg,bmgj,bmg,GER,4,
bmg25,Ramy Bensebaini,1,bmg,pac,pac,GER,7,
bmg29,Joe Scally,1,bmg,nyfc,nyfc,GER,5,
bmg3,Ko Itakura,1,bmg,kaw,kaw,GER,5,
bmg30,Nico Elvedi,1,bmg,fcz,fcz,GER,9,
bmg32,Florian Neuhaus,1,bmg,mu60,mu60,GER,9,
bmg34,Conor Noss,1,bmg,bmgj,bmg,GER,1,
bmg38,Yvandro Borges Sanches,1,bmg,bmgj,bmg,GER,1,
bmg4,Mamadou Doucoure,1,bmg,psg,bmg,GER,1,
bmg41,Jan Olschowsky,1,bmg,bmgj,bmg,GER,1,
bmg5,Marvin Friedrich,1,bmg,gelj,gel,GER,4,
bmg6,Christoph Kramer,1,bmg,levj,boc,GER,5,
bmg7,Patrick Herrmann,1,bmg,bmgj,bmg,GER,5,
bmg8,Julian Weigl,1,bmg,mu60,mu60,GER,8,
bmgj,Gladbach Jugend,2,bmgj,bmgj,bmgj,GER,,2
boc,VfL Bochum,2,boc,boc,boc,GER,,1
boc1,Manuel Riemann,1,boc,burg,burg,GER,1,
boc10,Philipp Foerster,1,boc,vfbj,svs,GER,2,
boc11,Takuma Asano,1,boc,yok,sanf,GER,2,
boc16,Konstantinos Stafylidis,1,boc,paok,paok,GER,2,
boc17,Gerrit Holtmann,1,boc,svwj,ebs,GER,2,
boc18,Jordi Osei Tutu,1,boc,ars,boc,GER,1,
boc2,Cristian Gamboa,1,boc,mli,mli,GER,1,
boc20,Ivan Ordets,1,boc,shak,shak,GER,2,
boc21,Michael Esser,1,boc,habi,boc,GER,1,
boc22,Christopher Antwi Adjei,1,boc,hern,scp,GER,1,
boc23,Saidy Janko,1,boc,manu,bolt,GER,2,
boc24,Vasilios Lampropoulos,1,boc,olpi,apo,GER,1,
boc28,Pierre Kunde,1,boc,atm,gran,GER,4,
boc29,Moritz Broschinski,1,boc,cott,boc,GER,1,
boc3,Danilo Soares,1,boc,lust,lust,GER,1,
boc30,Dominique Heintz,1,boc,fck,fck,GER,4,
boc31,Keven Schlotterbeck,1,boc,kirc,scf,GER,4,
boc33,Philipp Hofmann,1,boc,gelj,scp,GER,2,
boc35,Silvere Ganvoula,1,boc,anne,raja,GER,2,
boc4,Erhan Masovic,1,boc,cuk,cuk,GER,2,
boc5,Jacek Goralski,1,boc,zaw,wis,GER,2,
boc6,Patrick Osterhage,1,boc,bvbj,boc,GER,1,
boc7,Kevin Stoeger,1,boc,vfbj,fck,GER,3,
boc8,Anthony Losilla,1,boc,asse,fcc,GER,1,
boc9,Simon Zoller,1,boc,ksc,ksc,GER,2,
bocj,VfL Bochum Jugend,2,bocj,bocj,bocj,GER,,2
bolt,Bolton Wanderers,2,bolt,bolt,bolt,ENG,,
bonn,Bonner SC,2,bonn,bonn,bonn,GER,,
brab,Brabrand IF,2,brab,brab,brab,DEN,,
bro,Broendby IF,2,bro,bro,bro,DEN,,
brue,FC Bruegge,2,brue,brue,brue,BEL,,
bsc,Hertha BSC Berlin,2,bsc,bsc,bsc,GER,,1
bsc1,Oliver Christensen,1,bsc,obk,obk,GER,2,
bsc10,Jean Paul Boetius,1,bsc,feye,feye,GER,3,
bsc14,Dodi Lukebakio,1,bsc,and,and,GER,7,
bsc16,Jonjoe Kenny,1,bsc,eve,eve,GER,5,
bsc17,Maximilian Mittelstaedt,1,bsc,bscj,bsc,GER,5,
bsc18,Wilfried Kanga,1,bsc,psg,asco,GER,2,
bsc19,Stefan Jovetic,1,bsc,part,part,GER,8,
bsc2,Peter Pekarik,1,bsc,dubn,dubn,GER,2,
bsc20,Marc Oliver Kempf,1,bsc,sgej,sge,GER,4,
bsc21,Marvin Plattenhardt,1,bsc,fcn,fcn,GER,6,
bsc23,Marco Richter,1,bsc,fcaj,fca,GER,4,
bsc24,Jessic Ngankam,1,bsc,bscj,bsc,GER,1,
bsc27,Kevin Prince Boateng,1,bsc,bscj,bsc,GER,7,
bsc29,Lucas Tousart,1,bsc,vafc,vafc,GER,7,
bsc3,Augustin Rogel,1,bsc,naci,naci,GER,2,
bsc31,Marton Dardai,1,bsc,bscj,bsc,GER,3,
bsc34,Ivan Sunjic,1,bsc,zag,zag,GER,3,
bsc39,Derry Scherhant,1,bsc,bscj,bsc,GER,1,
bsc40,Chidera Ejuke,1,bsc,suco,gomb,GER,4,
bsc42,Julian Eitschberger,1,bsc,bscj,bsc,GER,1,
bsc5,Filip Uremovic,1,bsc,cib,cib,GER,3,
bsc6,Tolga Cigerci,1,bsc,wobj,wob,GER,2,
bsc7,Florian Niederlechner,1,bsc,eber,uha,GER,4,
bsc8,Suat Serdar,1,bsc,fsvj,fsv,GER,7,
bscj,Hertha BSC Jugend,2,bscj,bscj,bscj,GER,,2
burg,Wacker Burghausen,2,burg,burg,burg,GER,,
bvb,Borussia Dortmund,2,bvb,bvb,bvb,GER,,1
bvb1,Gregor Kobel,1,bvb,gcz,tsg,GER,7,
bvb11,Marco Reus,1,bvb,rwa,rwa,GER,10,
bvb13,Raphael Guerreiro,1,bvb,caen,caen,GER,9,
bvb14,Nico Schulz,1,bvb,bscj,bsc,GER,7,
bvb15,Mats Hummels,1,bvb,fcbj,bvb,GER,11,
bvb17,Marius Wolf,1,bvb,mu60,mu60,GER,4,
bvb18,Youssoufa Moukoko,1,bvb,bvbj,bvb,GER,8,
bvb19,Julian Brandt,1,bvb,wobj,lev,GER,10,
bvb2,Mateu Morey,1,bvb,bar,bvb,GER,3,
bvb20,Anthony Modeste,1,bvb,niz,niz,GER,6,
bvb21,Donyell Malen,1,bvb,ars,psv,GER,8,
bvb22,Jude Bellingham,1,bvb,bir,bir,GER,12,
bvb23,Emre Can,1,bvb,fcbj,fcb,GER,9,
bvb24,Thomas Meunier,1,bvb,rev,rev,GER,9,
bvb25,Niklas Suele,1,bvb,tsgj,tsg,GER,11,
bvb26,Julian Ryerson,1,bvb,vik,vik,GER,3,
bvb27,Karim Adeyemi,1,bvb,uha,rbs,GER,9,
bvb30,Felix Passlack,1,bvb,bvbj,bvb,GER,2,
bvb33,Alexander Meyer,1,bvb,hsv,cott,GER,1,
bvb35,Marcel Lotka,1,bvb,levj,bsc,GER,1,
bvb36,Tom Rothe,1,bvb,bvbj,bvb,GER,2,
bvb4,Nico Schlotterbeck,1,bvb,scfj,scf,GER,9,
bvb43,Jamie Bynoe Gittens,1,bvb,bvbj,bvb,GER,4,
bvb47,Antonios Papadopoulos,1,bvb,vfra,vfra,GER,1,
bvb6,Salih Oezcan,1,bvb,koej,koe,GER,6,
bvb7,Giovanni Reyna,1,bvb,nyfc,bvb,GER,10,
bvb8,Mahmoud Dahoud,1,bvb,bmgj,bmg,GER,6,
bvb9,Sebastien Haller,1,bvb,aux,aux,GER,10,
bvbj,Borussia Dortmund Jugend,2,bvbj,bvbj,bvbj,GER,,2
cac,CA Colon,2,cac,cac,cac,ARG,,
caen,SM Caen,2,caen,caen,caen,FRA,,
cal,Deportivo Cali,2,cal,cal,cal,ESP,,
cco,Central Coast,2,cco,cco,cco,AUS,,
cel,Celtic Glasgow,2,cel,cel,cel,SCO,,
cerc,Cercle Bruegge,2,cerc,cerc,cerc,BEL,,
cfc,Chelsea London,2,cfc,cfc,cfc,ENG,,
cib,Cibalia,2,cib,cib,cib,CRO,,
cob,Cobreloa,2,cob,cob,cob,CHI,,
cott,Energie Cottbus,2,cott,cott,cott,GER,,
crot,FC Crotone,2,crot,crot,crot,ITA,,
cuk,FK Cukaricki,2,cuk,cuk,cuk,SRB,,
czj,FC Carl Zeiss Jena,2,czj,czj,czj,GER,,
dcu,DC United,2,dcu,dcu,dcu,USA,,
der,Derby County,2,der,der,der,ENG,,
dre,Dynamo Dresden,2,dre,dre,dre,GER,,
dubn,FK Dubnica,2,dubn,dubn,dubn,SVK,,
duis,MSV Duisburg,2,duis,duis,duis,GER,,
eber,TSV Ebersberg,2,eber,eber,eber,GER,,
ebs,Eintracht Braunschweig,2,ebs,ebs,ebs,GER,,
espb,Espanyol Barcelona,2,espb,espb,espb,ESP,,
eve,FC Everton,2,eve,eve,eve,ENG,,
fca,FC Augsburg,2,fca,fca,fca,GER,,1
fca1,Rafal Gikiewicz,1,fca,ols,wig,GER,1,
fca10,Arne Maier,1,fca,bscj,bsc,GER,7,
fca11,Mergim Berisha,1,fca,rbs,rbs,GER,4,
fca13,Elvis Rexhbecaj,1,fca,wobj,wob,GER,4,
fca14,Julian Baumgartlinger,1,fca,mu60,mu60,GER,3,
fca16,Ruben Vargas,1,fca,luz,luz,GER,5,
fca17,Noah Sarenren Bazee,1,fca,han,han,GER,1,
fca19,Felix Udokhai,1,fca,mu60,mu60,GER,6,
fca2,Robert Gumny,1,fca,lech,lech,GER,2,
fca20,Daniel Caligiuri,1,fca,scfj,scf,GER,3,
fca22,Iago,1,fca,inte,inte,GER,3,
fca23,Maximilian Bauer,1,fca,fur,fur,GER,2,
fca24,Fredrik Jensen,1,fca,twen,twen,GER,2,
fca27,Arne Engels,1,fca,brue,brue,GER,1,
fca28,Andre Hahn,1,fca,hsv,off,GER,4,
fca3,Mads Pedersen,1,fca,fcno,fcno,GER,2,
fca30,Niklas Dorsch,1,fca,fcbj,fcb,GER,4,
fca38,David Colina,1,fca,asm,spli,GER,1,
fca39,Benjamin Leneis,1,fca,fcaj,fca,GER,1,
fca4,Reece Oxford,1,fca,whu,whu,GER,5,
fca40,Tomas Koubek,1,fca,kral,kral,GER,3,
fca42,Aaron Zehnter,1,fca,fcaj,fca,GER,1,
fca45,Kelvin Yeboah,1,fca,goz,graz,GER,3,
fca48,Irvin Cardona,1,fca,asm,cerc,GER,4,
fca5,Tobias Strobl,1,fca,mu60,koe,GER,4,
fca6,Jeffrey Gouweleeuw,1,fca,hee,hee,GER,5,
fca7,Dion Beljo,1,fca,cib,cib,GER,3,
fca8,Renato Veiga,1,fca,spo,fca,GER,1,
fca9,Ermedin Demirovic,1,fca,rblj,ala,GER,5,
fcaj,FC Augsburg Jugend,2,fcaj,fcaj,fcaj,GER,,2
fcb,FC Bayern München,2,fcb,fcb,fcb,GER,,1
fcb1,Manuel Neuer,1,fcb,gelj,gel,GER,10,
fcb10,Leroy Sane,1,fcb,gelj,gel,GER,12,
fcb11,Kingsley Coman,1,fcb,psg,psg,GER,12,
fcb13,Eric Maxim Choupo Moting,1,fcb,hsv,hsv,GER,4,
fcb14,Paul Wanner,1,fcb,fcb,fcb,GER,2,
fcb17,Sadio Mane,1,fcb,foot,foot,GER,12,
fcb19,Alphonso Davies,1,fcb,vanw,vanw,GER,12,
fcb2,Dayot Upamecano,1,fcb,vafc,rbs,GER,11,
fcb20,Bouna Sarr,1,fcb,met,met,GER,4,
fcb21,Lucas Hernandez,1,fcb,atm,atm,GER,12,
fcb22,Joao Cancelo,1,fcb,ben,ben,GER,12,
fcb23,Daley Blind,1,fcb,aja,aja,GER,7,
fcb25,Thomas Mueller,1,fcb,fcbj,fcb,GER,12,
fcb26,Sven Ulreich,1,fcb,vfbj,vfb,GER,4,
fcb27,Yann Sommer,1,fcb,bas,bas,GER,5,
fcb38,Ryan Gravenberch,1,fcb,aja,aja,GER,9,
fcb39,Mathys Tel,1,fcb,ren,ren,GER,6,
fcb4,Mathijs de Ligt,1,fcb,aja,aja,GER,12,
fcb40,Noussair Mazraoui,1,fcb,aja,aja,GER,8,
fcb42,Jamal Musiala,1,fcb,fcbj,fcb,GER,12,
fcb44,Josip Stanisic,1,fcb,fcbj,fcb,GER,4,
fcb5,Benjamin Pavard,1,fcb,lil,lil,GER,10,
fcb6,Joshua Kimmich,1,fcb,vfbj,rbl,GER,12,
fcb7,Serge Gnabry,1,fcb,ars,ars,GER,12,
fcb8,Leon Goretzka,1,fcb,bocj,boc,GER,12,
fcbj,FC Bayern Jugend,2,fcbj,fcbj,fcbj,GER,,2
fcc,FC Cannes,2,fcc,fcc,fcc,FRA,,
fck,1 FC Kaiserslautern,2,fck,fck,fck,GER,,
fcm,FC Magdeburg,2,fcm,fcm,fcm,GER,,
fcn,1 FC Nuernberg,2,fcn,fcn,fcn,GER,,
fcno,FC Nordsjaelland,2,fcno,fcno,fcno,DEN,,
fcsi,FC Sion,2,fcsi,fcsi,fcsi,SUI,,
fcu,1 FC Union Berlin,2,fcu,fcu,fcu,GER,,1
fcu1,Frederik Roennow,1,fcu,hors,hors,GER,2,
fcu11,Sven Michel,1,fcu,nied,cott,GER,1,
fcu13,Andras Schaefer,1,fcu,mtk,mtk,GER,2,
fcu14,Paul Seguin,1,fcu,wobj,wob,GER,1,
fcu16,Tim Maciejewski,1,fcu,fcuj,fcu,GER,1,
fcu17,Kevin Behrens,1,fcu,svwj,aaa,GER,1,
fcu18,Josip Juranovic,1,fcu,nkd,spli,GER,4,
fcu19,Jannik Haberer,1,fcu,uha,uha,GER,4,
fcu2,Morten Thorsby,1,fcu,stab,stab,GER,3,
fcu20,Aissa Laidouni,1,fcu,asco,fcv,GER,2,
fcu23,Niko Giesselmann,1,fcu,han,han,GER,2,
fcu25,Timo Baumgartl,1,fcu,vfbj,vfb,GER,5,
fcu26,Jerome Rousillon,1,fcu,soc,soc,GER,6,
fcu27,Sheraldo Becker,1,fcu,aja,aja,GER,5,
fcu28,Christopher Trimmel,1,fcu,hori,rwie,GER,1,
fcu3,Paul Jaeckel,1,fcu,wobj,wob,GER,3,
fcu30,Kevin Moehwald,1,fcu,rwer,rwer,GER,2,
fcu31,Robin Knoche,1,fcu,wobj,wob,GER,5,
fcu32,Milos Pantovic,1,fcu,fcbj,boc,GER,1,
fcu37,Lennart Grill,1,fcu,fck,fck,GER,1,
fcu4,Diogo Leite,1,fcu,prt,prt,GER,4,
fcu40,Jamie Leweling,1,fcu,fur,fur,GER,2,
fcu45,Jordan Siebatcheu,1,fcu,reim,reim,GER,4,
fcu5,Danilho Doekhi,1,fcu,aja,vit,GER,2,
fcu7,Levin Oeztunali,1,fcu,hsv,lev,GER,3,
fcu8,Rani Khedira,1,fcu,vfbj,vfb,GER,4,
fcuj,Union Berlin Jugend,2,fcuj,fcuj,fcuj,GER,,2
fcv,FC Voluntari,2,fcv,fcv,fcv,ROM,,
fcz,FC Zuerich,2,fcz,fcz,fcz,SUI,,
fen,Fenerbahce Istanbul,2,fen,fen,fen,TUR,,
feye,Feyenoord Rotterdam,2,feye,feye,feye,NED,,
fhs,Fujieda Highschool,2,fhs,fhs,fhs,JAP,,
foot,Generation Foot,2,foot,foot,foot,SEN,,
for,Fortuna Duesseldorf,2,for,for,for,GER,,
fsv,FSV Mainz 05,2,fsv,fsv,fsv,GER,,1
fsv1,Finn Dahmen,1,fsv,fsvj,fsv,GER,1,
fsv11,Marcus Ingvartsen,1,fsv,fcno,fcno,GER,2,
fsv16,Stefan Bell,1,fsv,fsvj,fsv,GER,3,
fsv17,Ludovic Ajourque,1,fsv,asco,asco,GER,6,
fsv19,Anthony Caci,1,fsv,stra,stra,GER,3,
fsv20,Edmilson Fernandes,1,fsv,fcsi,fcsi,GER,4,
fsv21,Danny da Costa,1,fsv,levj,lev,GER,5,
fsv25,Andreas Hanche Olsen,1,fsv,stab,stab,GER,2,
fsv27,Robin Zentner,1,fsv,fsvj,fsv,GER,2,
fsv29,Jonathan Burkardt,1,fsv,fsvj,hol,GER,6,
fsv3,Aaron Martin,1,fsv,espb,espb,GER,6,
fsv30,Silvan Widmer,1,fsv,aar,aar,GER,4,
fsv31,Dominik Kohr,1,fsv,levj,lev,GER,4,
fsv36,Marlon Mustapha,1,fsv,fsvj,adm,GER,1,
fsv37,Delano Burgzorg,1,fsv,graa,graa,GER,1,
fsv4,Aymen Barkok,1,fsv,sgej,sge,GER,2,
fsv42,Alexander Hack,1,fsv,mu60,fsv,GER,2,
fsv43,Brajan Gruda,1,fsv,fsvj,fsv,GER,1,
fsv44,Nelson Weiper,1,fsv,fsvj,fsv,GER,1,
fsv5,Maxim Leitsch,1,fsv,bocj,boc,GER,2,
fsv6,Anton Stach,1,fsv,osna,fur,GER,5,
fsv7,Jae Sung Lee,1,fsv,kun,jeon,GER,2,
fsv8,Leandro Barreiro,1,fsv,fsvj,fsv,GER,5,
fsv9,Karim Onisiwo,1,fsv,twl,fsv,GER,2,
fsvf,FSV Frankfurt,2,fsvf,fsvf,fsvf,GER,,
fsvj,FSV Mainz Jugend,2,fsvj,fsvj,fsvj,GER,,2
ful,FC Fulham,2,ful,ful,ful,ENG,,
fur,Greuther Fuerth,2,fur,fur,fur,GER,,
gala,Galatasaray Istanbul,2,gala,gala,gala,TUR,,
gamb,Gamba Osaka,2,gamb,gamb,gamb,JAP,,
gcz,Grasshoppers Zuerich,2,gcz,gcz,gcz,SUI,,
gel,FC Schalke 04,2,gel,gel,gel,GER,,1
gel1,Ralf Faehrmann,1,gel,gelj,gel,GER,5,
gel10,Rodrigo Zalazar,1,gel,mala,kiel,GER,2,
gel11,Marius Buelter,1,gel,muns,fcm,GER,2,
gel13,Alexander Schwolow,1,gel,scfj,scf,GER,4,
gel15,Timothee Kolodziejczak,1,gel,len,ol,GER,3,
gel18,Jere Uronen,1,gel,tps,tps,GER,2,
gel19,Kenan Karaman,1,gel,tsgj,tsg,GER,2,
gel2,Thomas Ouwejan,1,gel,alk,alk,GER,2,
gel20,Tim Skarke,1,gel,heid,heid,GER,1,
gel21,Niklas Tauer,1,gel,fsvj,fsv,GER,1,
gel23,Mehmet Aydin,1,gel,gelj,gel,GER,2,
gel24,Dominick Drexler,1,gel,levj,rwer,GER,2,
gel25,Moritz Jenz,1,gel,ful,lau,GER,2,
gel26,Michael Frey,1,gel,ybb,ybb,GER,3,
gel27,Cedric Brunner,1,gel,fcz,fcz,GER,2,
gel29,Tobias Mohr,1,gel,aaa,fur,GER,1,
gel3,Leo Greiml,1,gel,stpo,rwie,GER,2,
gel30,Alex Kral,1,gel,slpr,tep,GER,4,
gel33,Eder Balanta,1,gel,rivp,rivp,GER,3,
gel34,Michael Langer,1,gel,vfbj,vfb,GER,1,
gel35,Marcin Kaminski,1,gel,lech,lech,GER,2,
gel37,Andreas Ivan,1,gel,stk,stk,GER,1,
gel38,Siochiro Kozuki,1,gel,sang,sang,GER,1,
gel4,Maya Yoshida,1,gel,nag,nag,GER,3,
gel40,Sebastian Polter,1,gel,wobj,wob,GER,1,
gel41,Henning Matriciani,1,gel,lipp,gel,GER,1,
gel5,Sepp van den Berg,1,gel,zwo,zwo,GER,3,
gel6,Tom Krauss,1,gel,rblj,rbl,GER,3,
gel8,Danny Latza,1,gel,gelj,gel,GER,3,
gel9,Simon Terodde,1,gel,duis,duis,GER,2,
gelj,FC Schalke 04 Jugend,2,gelj,gelj,gelj,GER,,2
gomb,Gombe United,2,gomb,gomb,gomb,NIG,,
goz,Gozzano,2,goz,goz,goz,ITA,,
graa,De Graafschap Doetinchem,2,graa,graa,graa,NED,,
gran,FC Granada,2,gran,gran,gran,ESP,,
graz,Sturm Graz,2,graz,graz,graz,AUT,,
gui,Vittoria Guimaraes,2,gui,gui,gui,POR,,
habi,VfB Habinghorst,2,habi,habi,habi,GER,,
han,Hannover 96,2,han,han,han,GER,,
have,TSV Havelse,2,have,have,have,GER,,
hee,SC Heerenveen,2,hee,hee,hee,NED,,
heid,1 FC Heidenheim,2,heid,heid,heid,GER,,
hern,Westfalia Herne,2,hern,hern,hern,GER,,
hfc,Hallescher FC,2,hfc,hfc,hfc,GER,,
hhs,Higashiyama Highschool,2,hhs,hhs,hhs,JAP,,
hif,Hammarby IF,2,hif,hif,hif,SWE,,
hoed,IL Hoedd,2,hoed,hoed,hoed,NOR,,
hol,Holstein Kiel,2,hol,hol,hol,GER,,
hori,ASK Horitschon,2,hori,hori,hori,AUT,,
hors,AC Horsens,2,hors,hors,hors,DEN,,
hro,Hansa Rostock,2,hro,hro,hro,GER,,
hsv,Hamburger SV,2,hsv,hsv,hsv,GER,,
hull,Hull City FC,2,hull,hull,hull,ENG,,
ind,Indepidiente del Valle,2,ind,ind,ind,ECU,,
inte,Internacional Porto Alegre,2,inte,inte,inte,BRA,,
iwa,Jubilo Iwata,2,iwa,iwa,iwa,JAP,,
